x,y,z,yaw,velocity,change_flag
27.0630,5.1502,0.0358,-3.1365,39.9523,0
25.9589,5.1446,0.0362,-3.1365,39.6035,0
24.8656,5.1391,0.0364,-3.1365,39.1887,0
23.7845,5.1337,0.0366,-3.1365,38.7392,0
22.7159,5.1282,0.0368,-3.1365,38.2823,0
21.6578,5.1228,0.0368,-3.1365,38.0472,0
20.6020,5.1174,0.0367,-3.1365,37.9755,0
19.5482,5.1120,0.0366,-3.1365,37.9076,0
18.4963,5.1066,0.0365,-3.1365,37.8399,0
17.4462,5.1012,0.0364,-3.1365,37.7724,0
16.4089,5.0959,0.0366,-3.1364,36.5623,0
14.9564,5.0885,0.0379,-3.1363,33.6868,0
13.5990,5.0814,0.0384,-3.1362,31.8586,0
12.2943,5.0744,0.0381,-3.1362,30.9976,0
11.0073,5.0675,0.0374,-3.1362,30.8728,0
9.7137,5.0605,0.0367,-3.1362,31.2155,0
8.3984,5.0534,0.0361,-3.1362,31.8750,0
7.0499,5.0461,0.0357,-3.1363,32.7709,0
5.6602,5.0387,0.0353,-3.1363,33.8277,0
4.2241,5.0311,0.0351,-3.1363,34.9842,0
2.7395,5.0232,0.0350,-3.1364,35.9881,0
1.2416,5.0154,0.0354,-3.1364,35.9150,0
-0.2524,5.0077,0.0358,-3.1364,35.8192,0
-1.7424,5.0000,0.0361,-3.1364,35.7243,0
-2.7427,4.9948,0.0360,-3.1364,36.6151,0
-3.7884,4.9893,0.0352,-3.1365,38.3300,0
-4.8786,4.9837,0.0346,-3.1366,39.8443,0
-6.0073,4.9780,0.0342,-3.1366,41.1551,0
-7.1693,4.9722,0.0341,-3.1367,42.2903,0
-8.3603,4.9663,0.0342,-3.1367,43.2764,0
-9.5765,4.9603,0.0343,-3.1368,44.1376,0
-10.8149,4.9543,0.0344,-3.1368,44.8951,0
-12.0730,4.9483,0.0346,-3.1369,45.5654,0
-13.3479,4.9423,0.0348,-3.1369,46.1180,0
-14.6353,4.9362,0.0350,-3.1370,46.4953,0
-15.9302,4.9302,0.0352,-3.1370,46.6743,0
-17.2227,4.9242,0.0356,-3.1370,46.3685,0
-18.4992,4.9183,0.0361,-3.1370,45.6342,0
-19.7509,4.9126,0.0366,-3.1369,44.6455,0
-20.9755,4.9069,0.0371,-3.1369,43.9076,0
-22.1939,4.9012,0.0370,-3.1369,43.8308,0
-23.4103,4.8954,0.0368,-3.1369,43.7502,0
-24.6244,4.8897,0.0367,-3.1369,43.6699,0
-25.8362,4.8840,0.0365,-3.1369,43.5897,0
-27.0394,4.8783,0.0366,-3.1368,42.6194,0
-28.1788,4.8729,0.0376,-3.1368,39.9213,0
-29.2440,4.8678,0.0387,-3.1366,37.2793,0
-30.7071,4.8607,0.0399,-3.1365,33.4397,0
-32.0145,4.8541,0.0404,-3.1363,29.7703,0
-33.1737,4.8480,0.0406,-3.1362,26.2950,0
-34.1932,4.8425,0.0406,-3.1361,23.0390,0
-35.3585,4.8361,0.0402,-3.1360,19.4042,0
-36.3878,4.8303,0.0403,-3.1357,18.0599,0
-37.4136,4.8249,0.0426,-3.1358,19.1113,0
-38.5372,4.8180,0.0449,-3.1359,21.2968,0
-39.7635,4.8111,0.0526,-3.1358,22.4299,0
-40.9929,4.8040,0.0581,-3.1358,22.3414,0
-42.2168,4.7967,0.0660,-3.1358,22.2383,0
-43.5686,4.7886,0.0657,-3.1359,26.1277,0
-44.7162,4.7826,0.0659,-3.1360,28.6450,0
-45.9650,4.7754,0.0658,-3.1361,30.9667,0
-47.3009,4.7680,0.0661,-3.1362,32.9199,0
-48.7127,4.7604,0.0657,-3.1363,34.6161,0
-50.1880,4.7526,0.0653,-3.1364,35.9899,0
-51.1988,4.7472,0.0651,-3.1364,36.6480,0
-52.2220,4.7419,0.0650,-3.1364,36.9136,0
-53.2448,4.7366,0.0651,-3.1364,36.7135,0
-54.2563,4.7313,0.0653,-3.1364,36.1890,0
-55.7368,4.7213,0.0656,-3.1351,34.9682,0
-57.1813,4.7023,0.0638,-3.1297,34.6592,0
-58.6209,4.6748,0.0513,-3.1233,34.6047,0
-60.0600,4.6379,0.0468,-3.1166,34.5193,0
-61.4871,4.5917,0.0359,-3.1098,33.1460,0
-62.7789,4.5419,0.0357,-3.1038,29.3648,0
-63.9177,4.4959,0.0378,-3.1014,25.8177,0
-65.2179,4.4435,0.0394,-3.1010,21.4398,0
-66.2921,4.3999,0.0398,-3.1008,17.5135,0
-67.3641,4.3562,0.0387,-3.1007,13.6428,0
