x,y,z,yaw,velocity,change_flag
0.8799,1.0968,0.0353,-3.138,44.477,0
-0.3628,1.0924,0.0353,-3.138,44.9265,0
-1.6179,1.0879,0.0353,-3.1381,45.3665,0
-2.8851,1.0834,0.0354,-3.1381,45.7975,0
-4.1641,1.0789,0.0354,-3.1381,46.22,0
-5.4546,1.0744,0.0354,-3.1381,46.6199,0
-6.7543,1.0699,0.0354,-3.1382,46.8773,0
-8.0547,1.0654,0.0356,-3.1382,46.7837,0
-9.3527,1.061,0.0359,-3.1382,46.6965,0
-10.6483,1.0565,0.036,-3.1382,46.6095,0
-11.9415,1.0521,0.0361,-3.1382,46.5226,0
-13.2324,1.0477,0.0362,-3.1382,46.436,0
-14.4852,1.0435,0.0369,-3.1381,44.1718,0
-15.6702,1.0394,0.038,-3.138,41.5666,0
-16.7756,1.0356,0.0392,-3.1379,38.4849,0
-17.7868,1.032,0.0402,-3.1377,34.9031,0
-19.1133,1.027,0.0414,-3.1374,29.4405,0
-20.231,1.0225,0.0418,-3.1372,25.0801,0
-21.4974,1.017,0.0411,-3.1371,20.798,0
-22.5434,1.0124,0.0401,-3.137,17.1736,0
-23.5865,1.0075,0.0388,-3.1369,13.2734,0
-24.6686,1.0024,0.0381,-3.1368,9.3646,0
-25.7293,0.9973,0.0364,-3.1368,8.3907,0
-26.8383,0.992,0.0355,-3.1368,9.393,0
-27.9586,0.9866,0.0352,-3.1368,10.7562,0
-29.0657,0.9813,0.0352,-3.1368,11.918,0
-30.2094,0.9759,0.0359,-3.1368,11.1185,0
-31.2756,0.9579,0.0369,-3.1293,8.23,0
-32.3484,0.9125,0.0359,-3.1122,8.1709,0
-33.3684,0.8481,0.035,-3.0939,10.2535,0
-34.4675,0.7576,0.0348,-3.0739,12.333,0
-35.5682,0.6421,0.0353,-3.0523,14.12,0
-36.5942,0.5036,0.0386,-3.0267,15.5383,0
-37.6977,0.299,0.0416,-2.9849,16.5756,0
-38.8354,0.0062,0.0491,-2.9252,17.0744,0
-39.9732,-0.3781,0.0548,-2.8547,17.4314,0
-41.1061,-0.841,0.0588,-2.7887,17.7355,0
-42.2213,-1.3854,0.0634,-2.7219,17.9635,0
-43.0954,-1.88,0.0645,-2.6674,18.1399,0
-43.9446,-2.4279,0.0644,-2.6104,18.2057,0
