x,y,z,yaw,velocity,change_flag
338.6423,-115.2066,0.0354,1.5725,10.8403,0
338.6405,-113.9729,0.0355,1.5725,11.3096,0
338.6388,-112.8547,0.0356,1.5725,11.6806,0
338.6371,-111.7004,0.0356,1.5725,12.0436,0
338.6357,-110.6849,0.0356,1.5725,12.3015,0
338.6337,-109.6508,0.0356,1.5725,12.4970,0
338.6316,-108.6034,0.0357,1.5725,12.6231,0
338.6291,-107.3710,0.0357,1.5725,12.7200,0
338.6270,-106.3083,0.0357,1.5725,12.7662,0
338.6249,-105.2481,0.0358,1.5725,12.6629,0
338.6228,-104.2000,0.0358,1.5725,12.5039,0
338.6207,-103.1642,0.0359,1.5725,12.3665,0
338.6193,-102.1390,0.0358,1.5725,12.2496,0
338.6176,-100.9532,0.0358,1.5725,12.1552,0
338.6160,-99.7747,0.0358,1.5725,12.0935,0
338.6143,-98.6017,0.0358,1.5725,12.0417,0
338.6129,-97.6000,0.0358,1.5725,12.0023,0
338.6111,-96.2691,0.0358,1.5725,11.9558,0
338.6094,-95.1086,0.0358,1.5725,11.9201,0
338.6078,-93.9514,0.0358,1.5725,11.8886,0
338.6061,-92.7970,0.0358,1.5725,11.8607,0
338.6045,-91.6445,0.0358,1.5725,11.8577,0
338.6026,-90.3251,0.0358,1.5725,11.8907,0
338.6010,-89.1676,0.0358,1.5725,11.9191,0
338.5993,-88.0075,0.0358,1.5725,11.9445,0
338.5977,-86.8451,0.0358,1.5725,11.9671,0
338.5960,-85.6806,0.0358,1.5725,11.9870,0
338.5942,-84.3477,0.0358,1.5725,11.9933,0
338.5925,-83.1895,0.0358,1.5725,11.7906,0
338.5909,-82.0678,0.0360,1.5725,11.2322,0
338.5891,-80.8835,0.0362,1.5725,10.0879,0
338.5872,-79.8233,0.0362,1.5725,9.0925,0
338.5851,-78.7636,0.0363,1.5726,7.8385,0
338.5833,-77.6375,0.0364,1.5727,5.6704,0
338.5815,-76.5966,0.0359,1.5725,4.7619,0
338.5798,-75.5661,0.0354,1.5725,6.2204,0
338.5777,-74.3928,0.0354,1.5725,7.6008,0
338.5754,-73.3050,0.0356,1.5725,7.9870,0
338.5733,-72.2923,0.0357,1.5726,8.1798,0
338.5710,-71.1845,0.0359,1.5726,7.6722,0
338.5689,-70.1685,0.0360,1.5726,6.9994,0
338.5675,-69.1588,0.0360,1.5725,6.2333,0
338.5660,-68.0818,0.0359,1.5726,5.8510,0
338.5587,-67.0473,0.0359,1.5760,5.4824,0
338.4999,-66.0232,0.0361,1.6056,4.3399,0
338.3647,-64.9974,0.0356,1.6583,4.4587,0
338.1609,-63.9609,0.0356,1.7169,5.5199,0
337.8874,-62.9548,0.0357,1.7826,5.8129,0
337.5133,-61.9667,0.0361,1.8662,4.8693,0
337.0412,-61.0343,0.0360,1.9612,3.5802,0
336.4816,-60.1602,0.0358,2.0584,3.2549,0
335.8534,-59.3597,0.0358,2.1532,3.0670,0
335.1404,-58.6107,0.0358,2.2498,2.8220,0
334.3604,-57.9356,0.0358,2.3465,2.5302,0
333.5316,-57.3506,0.0358,2.4423,2.3745,0
332.6441,-56.8718,0.0357,2.5534,1.5826,0
331.7064,-56.5016,0.0358,2.6681,1.6086,0
330.7088,-56.2394,0.0356,2.7837,2.7729,0
329.6880,-56.0874,0.0356,2.8961,3.8625,0
328.6161,-55.9875,0.0356,2.9791,4.6703,0
327.5879,-55.9107,0.0357,3.0248,5.1091,0
326.5891,-55.8225,0.0358,3.0394,5.1813,0
325.5680,-55.7391,0.0357,3.0508,5.4256,0
324.5472,-55.6769,0.0357,3.0671,5.8856,0
323.5335,-55.6318,0.0357,3.0832,6.2682,0
322.4556,-55.6000,0.0357,3.0993,6.6701,0
321.4008,-55.5715,0.0356,3.1070,7.1582,0
320.3711,-55.5360,0.0356,3.1071,7.6535,0
319.2749,-55.4982,0.0356,3.1071,8.1439,0
318.2256,-55.4627,0.0356,3.1075,8.6249,0
317.1235,-55.4288,0.0356,3.1095,8.9883,0
316.1112,-55.4044,0.0357,3.1139,9.1841,0
315.0993,-55.3884,0.0358,3.1204,8.9678,0
314.0249,-55.3816,0.0361,3.1289,8.1716,0
312.9809,-55.3832,0.0362,3.1367,6.8921,0
311.9475,-55.3792,0.0362,3.1372,5.5879,0
