x,y,z,yaw,velocity,change_flag
44.5015,-205.4062,0.0364,-0.0238,0,0
45.5360,-205.4310,0.0334,-0.0239,10.2501,0
46.5804,-205.4561,0.0333,-0.0240,14.5920,0
47.7279,-205.4836,0.0333,-0.0241,18.2177,0
48.8257,-205.5101,0.0342,-0.0242,20.9830,0
50.0778,-205.5403,0.0341,-0.0243,23.6478,0
51.1031,-205.5650,0.0342,-0.0242,25.3225,0
52.1851,-205.5909,0.0344,-0.0241,26.4870,0
53.3156,-205.6179,0.0346,-0.0240,27.6371,0
54.4876,-205.6423,0.0349,-0.0220,28.5341,0
55.6985,-205.6620,0.0350,-0.0180,29.4867,0
56.9476,-205.6771,0.0351,-0.0135,30.3833,0
58.2352,-205.6877,0.0351,-0.0093,31.3211,0
59.5618,-205.6962,0.0351,-0.0067,32.2569,0
60.9276,-205.7050,0.0351,-0.0063,33.1933,0
62.3324,-205.7138,0.0351,-0.0062,34.1474,0
63.7817,-205.7229,0.0350,-0.0063,35.3277,0
65.2851,-205.7323,0.0348,-0.0063,36.7046,0
66.3206,-205.7388,0.0347,-0.0064,37.6889,0
67.3840,-205.7456,0.0346,-0.0064,38.7018,0
68.4750,-205.7526,0.0346,-0.0065,39.6794,0
69.5921,-205.7598,0.0345,-0.0065,40.5892,0
70.7334,-205.7672,0.0346,-0.0066,41.4336,0
71.8973,-205.7748,0.0346,-0.0066,42.2357,0
73.0830,-205.7827,0.0347,-0.0067,43.0064,0
74.2897,-205.7907,0.0347,-0.0067,43.7522,0
75.5168,-205.7989,0.0348,-0.0068,44.4760,0
76.7636,-205.8073,0.0348,-0.0068,45.1799,0
78.0297,-205.8158,0.0349,-0.0068,45.8640,0
79.3143,-205.8245,0.0349,-0.0069,46.5094,0
80.6153,-205.8335,0.0350,-0.0069,47.0632,0
81.9300,-205.8425,0.0351,-0.0069,47.5082,0
83.2553,-205.8517,0.0352,-0.0070,47.8493,0
84.5885,-205.8606,0.0354,-0.0068,48.0932,0
