x,y,z,yaw,velocity,change_flag
62.7356,178.9466,0.1097,2.1444,6.3796,0
62.4004,179.9048,0.0993,2.0182,6.7846,0
62.1572,180.8886,0.0764,1.9107,7.5453,0
61.9670,181.8911,0.0675,1.8287,8.7210,0
61.8315,182.9434,0.0684,1.7565,10.2996,0
61.7519,184.0206,0.0687,1.6929,11.7763,0
61.7139,185.0555,0.0688,1.6454,12.9267,0
61.6970,186.1774,0.0688,1.6104,13.9066,0
61.6872,187.3751,0.0689,1.5908,14.7464,0
61.6903,188.4227,0.0690,1.5777,15.3818,0
61.6953,189.5063,0.0691,1.5709,15.7063,0
61.7004,190.5965,0.0693,1.5680,15.6966,0
61.7094,191.6904,0.0693,1.5648,15.8244,0
61.7228,192.7951,0.0693,1.5611,15.9562,0
61.7404,193.8963,0.0695,1.5573,15.7013,0
61.7645,194.9719,0.0696,1.5521,15.3820,0
61.7988,196.0484,0.0694,1.5443,15.7129,0
61.8481,197.1635,0.0691,1.5336,16.4134,0
61.9175,198.3314,0.0689,1.5197,17.2274,0
62.0062,199.5551,0.0689,1.5058,18.0364,0
62.0875,200.5696,0.0698,1.4971,18.4020,0
62.1752,201.5988,0.0698,1.4906,18.3458,0
62.2636,202.6061,0.0700,1.4862,18.2621,0
62.3529,203.6127,0.0699,1.4843,18.1941,0
62.4400,204.6157,0.0699,1.4843,18.1717,0
62.5268,205.6161,0.0699,1.4846,18.0436,0
62.6349,206.8679,0.0698,1.4847,18.1004,0
62.7215,207.8713,0.0698,1.4847,18.2051,0
62.8090,208.8853,0.0698,1.4847,18.5685,0
62.8979,209.9135,0.0698,1.4849,18.6278,0
62.9859,210.9330,0.0699,1.4849,18.5315,0
63.0771,211.9594,0.0698,1.4834,18.7933,0
63.1790,213.0013,0.0697,1.4776,19.0441,0
63.3190,214.2961,0.0700,1.4670,18.2876,0
63.4697,215.5313,0.0695,1.4551,17.5434,0
63.6298,216.6903,0.0699,1.4415,16.1720,0
63.7886,217.7437,0.0704,1.4296,14.6254,0
63.9724,218.8789,0.0704,1.4178,13.2123,0
64.1603,219.9657,0.0696,1.4071,13.5786,0
64.3769,221.1463,0.0688,1.3959,15.2030,0
64.5884,222.2374,0.0685,1.3859,16.6972,0
64.8315,223.4269,0.0687,1.3751,18.1570,0
65.0492,224.4436,0.0694,1.3660,19.2251,0
65.2860,225.5027,0.0693,1.3565,19.9664,0
65.5407,226.5929,0.0694,1.3469,20.4062,0
65.8099,227.6973,0.0695,1.3370,20.7257,0
66.0960,228.8225,0.0695,1.3270,21.2288,0
66.4011,229.9730,0.0694,1.3166,21.7349,0
66.7248,231.1436,0.0695,1.3059,22.0980,0
67.0656,232.3257,0.0696,1.2949,22.2956,0
67.4200,233.5065,0.0698,1.2840,22.2136,0
67.7844,234.6741,0.0699,1.2732,21.9918,0
68.1573,235.8247,0.0700,1.2624,21.7368,0
68.5381,236.9584,0.0701,1.2518,21.5117,0
68.9272,238.0773,0.0701,1.2413,21.3232,0
69.3245,239.1826,0.0701,1.2309,21.1521,0
69.7292,240.2753,0.0700,1.2211,20.9924,0
70.1417,241.3589,0.0700,1.2118,20.9637,0
70.5647,242.4424,0.0699,1.2030,21.1001,0
71.0012,243.5329,0.0698,1.1944,21.3535,0
71.4541,244.6339,0.0697,1.1851,21.6524,0
71.9254,245.7457,0.0696,1.1747,21.9577,0
72.4158,246.8676,0.0696,1.1636,22.2568,0
72.9272,247.9982,0.0696,1.1514,22.5446,0
73.4607,249.1352,0.0696,1.1377,22.7820,0
74.0121,250.2689,0.0698,1.1238,22.6615,0
74.7073,251.6447,0.0702,1.1066,21.7339,0
75.2588,252.6994,0.0704,1.0944,21.0011,0
75.8028,253.7121,0.0705,1.0833,20.2730,0
76.3420,254.6899,0.0704,1.0726,19.8561,0
76.8889,255.6572,0.0701,1.0621,19.9994,0
77.4538,256.6357,0.0698,1.0523,20.4611,0
78.0402,257.6353,0.0695,1.0443,21.0235,0
78.6507,258.6572,0.0694,1.0361,21.6049,0
79.2883,259.7000,0.0694,1.0263,22.1740,0
79.9530,260.7603,0.0694,1.0152,22.6477,0
80.6400,261.8298,0.0695,1.0041,22.8911,0
81.3412,262.8958,0.0697,0.9930,22.8799,0
82.0538,263.9517,0.0698,0.9815,22.8306,0
82.7762,264.9933,0.0700,0.9692,22.6356,0
83.5025,266.0129,0.0701,0.9567,22.3024,0
84.2305,267.0099,0.0701,0.9449,22.0283,0
84.9620,267.9914,0.0701,0.9346,21.9065,0
85.6999,268.9645,0.0700,0.9257,21.9127,0
86.4497,269.9339,0.0699,0.9164,22.0483,0
87.2168,270.9034,0.0698,0.9059,22.2815,0
88.0030,271.8755,0.0697,0.8951,22.5503,0
88.8092,272.8507,0.0697,0.8842,22.8232,0
89.6361,273.8280,0.0697,0.8728,23.0890,0
90.4837,274.8063,0.0697,0.8611,23.3439,0
91.3516,275.7849,0.0697,0.8494,23.5870,0
92.2397,276.7631,0.0697,0.8376,23.8179,0
93.1492,277.7382,0.0697,0.8245,24.0356,0
93.8467,278.4659,0.0697,0.8136,24.3135,0
94.5569,279.1895,0.0697,0.8016,24.3426,0
95.2807,279.9087,0.0697,0.7895,24.6027,0
96.0166,280.6226,0.0697,0.7770,24.5936,0
96.7627,281.3284,0.0698,0.7649,24.6517,0
97.5106,282.0191,0.0700,0.7524,24.2281,0
98.2548,282.6895,0.0702,0.7407,23.8767,0
99.2338,283.5485,0.0704,0.7257,23.2041,0
100.1937,284.3734,0.0704,0.7143,22.5600,0
101.1363,285.1672,0.0704,0.7042,22.0540,0
102.0764,285.9408,0.0702,0.6935,22.0201,0
103.2785,286.9047,0.0698,0.6791,22.3913,0
104.2778,287.6821,0.0695,0.6663,22.9847,0
105.3148,288.4651,0.0694,0.6520,23.5906,0
106.3899,289.2514,0.0694,0.6366,24.1737,0
107.2212,289.8421,0.0694,0.6248,24.7025,0
108.0727,290.4317,0.0694,0.6125,24.9781,0
108.9448,291.0197,0.0694,0.5999,25.4469,0
109.8362,291.6046,0.0694,0.5872,25.6976,0
110.7467,292.1864,0.0695,0.5748,26.1050,0
111.6731,292.7646,0.0695,0.5632,26.2811,0
112.6137,293.3385,0.0696,0.5527,26.5681,0
113.5662,293.9077,0.0696,0.5429,26.6778,0
114.5290,294.4737,0.0696,0.5348,26.8966,0
115.4995,295.0360,0.0697,0.5280,26.9307,0
116.4769,295.5927,0.0697,0.5209,27.0423,0
117.4609,296.1401,0.0698,0.5119,27.0074,0
118.4525,296.6767,0.0698,0.5010,27.1010,0
119.4520,297.2009,0.0698,0.4885,27.0697,0
120.4606,297.7106,0.0698,0.4744,27.1589,0
121.4777,298.2053,0.0698,0.4592,27.1291,0
122.5036,298.6852,0.0698,0.4441,27.2179,0
123.5372,299.1505,0.0698,0.4291,27.1918,0
124.9254,299.7540,0.0698,0.4129,27.2361,0
125.9736,300.1942,0.0698,0.4021,27.3204,0
127.0278,300.6221,0.0698,0.3905,27.2926,0
128.0879,301.0393,0.0698,0.3795,27.3761,0
129.1529,301.4462,0.0698,0.3691,27.3482,0
130.2233,301.8427,0.0698,0.3590,27.4273,0
131.2985,302.2279,0.0698,0.3484,27.3969,0
132.3792,302.6012,0.0698,0.3373,27.4726,0
133.4647,302.9626,0.0698,0.3260,27.4423,0
134.5553,303.3120,0.0698,0.3147,27.5140,0
135.6498,303.6490,0.0699,0.3033,27.4466,0
136.7463,303.9715,0.0699,0.2912,27.4107,0
137.8424,304.2786,0.0700,0.2785,27.2372,0
138.9372,304.5703,0.0700,0.2658,27.1518,0
140.0286,304.8463,0.0700,0.2531,26.8892,0
141.1118,305.1057,0.0701,0.2407,26.5750,0
142.1753,305.3466,0.0704,0.2283,25.7699,0
143.2018,305.5659,0.0707,0.2169,24.7000,0
144.4897,305.8249,0.0712,0.2032,22.8333,0
145.6717,306.0473,0.0715,0.1914,20.7735,0
146.7384,306.2357,0.0717,0.1812,18.5819,0
147.9248,306.4330,0.0707,0.1699,16.4487,0
148.9852,306.5979,0.0707,0.1607,14.5883,0
150.0991,306.7595,0.0707,0.1507,12.5862,0
151.2102,306.9053,0.0705,0.1387,10.6127,0
152.2704,307.0296,0.0703,0.1262,8.7362,0
153.3372,307.1396,0.0702,0.1130,6.7935,0
154.3720,307.2413,0.0690,0.1051,7.9506,0
155.4123,307.3475,0.0683,0.1033,10.8416,0
156.4131,307.4485,0.0681,0.1017,13.1766,0
157.6108,307.5582,0.0681,0.0951,15.5575,0
158.7604,307.6534,0.0680,0.0874,17.5228,0
159.7774,307.7292,0.0690,0.0799,19.0393,0
160.8776,307.8033,0.0689,0.0719,20.4288,0
162.0578,307.8768,0.0688,0.0653,21.8174,0
163.3106,307.9465,0.0688,0.0584,23.0711,0
164.6264,308.0089,0.0689,0.0503,24.0425,0
165.6375,308.0480,0.0691,0.0431,24.4009,0
166.6446,308.0781,0.0696,0.0348,23.9229,0
167.9421,308.1044,0.0703,0.0238,22.6554,0
169.1503,308.1165,0.0710,0.0141,20.7875,0
170.2470,308.1171,0.0715,0.0052,18.6592,0
171.4688,308.1052,0.0706,-0.0048,16.7325,0
172.5619,308.0840,0.0706,-0.0135,14.8736,0
173.7089,308.0541,0.0707,-0.0211,12.8326,0
174.7343,308.0200,0.0702,-0.0279,12.2352,0
175.7831,307.9779,0.0693,-0.0348,12.9683,0
176.9028,307.9269,0.0690,-0.0412,13.8769,0
178.0954,307.8682,0.0689,-0.0461,14.6922,0
179.1292,307.8198,0.0691,-0.0465,15.0221,0
180.1676,307.7714,0.0693,-0.0465,14.8369,0
181.3498,307.7163,0.0699,-0.0465,13.4680,0
182.3936,307.6678,0.0704,-0.0465,11.7263,0
183.4374,307.6194,0.0704,-0.0463,9.9032,0
184.5439,307.5725,0.0702,-0.0439,7.9582,0
185.5795,307.5318,0.0695,-0.0415,7.8674,0
186.6732,307.4875,0.0689,-0.0410,9.4454,0
187.7875,307.4418,0.0689,-0.0410,10.5584,0
