x,y,z,yaw,velocity,change_flag
175.6463,-174.2370,0.0368,0.7914,47.5903,0
176.5613,-173.2952,0.0369,0.8034,47.0571,0
177.4551,-172.3535,0.0370,0.8148,46.5181,0
178.3281,-171.4128,0.0371,0.8255,45.9782,0
179.1807,-170.4738,0.0371,0.8360,45.4361,0
180.0128,-169.5366,0.0371,0.8466,44.8947,0
180.8241,-168.6011,0.0371,0.8577,44.3580,0
181.6148,-167.6674,0.0371,0.8692,43.8291,0
182.3854,-166.7358,0.0371,0.8808,43.3120,0
183.1361,-165.8062,0.0371,0.8923,42.8074,0
183.8674,-164.8788,0.0371,0.9038,42.3156,0
184.5797,-163.9537,0.0371,0.9151,41.8364,0
185.2734,-163.0308,0.0371,0.9264,41.3705,0
185.9491,-162.1104,0.0371,0.9375,40.9235,0
186.6074,-161.1921,0.0370,0.9485,40.5021,0
187.2489,-160.2758,0.0370,0.9595,40.1050,0
187.8743,-159.3612,0.0370,0.9703,39.7287,0
188.4841,-158.4485,0.0369,0.9809,39.3699,0
189.0789,-157.5375,0.0369,0.9913,39.0261,0
189.6592,-156.6282,0.0369,1.0015,38.6953,0
190.2253,-155.7206,0.0368,1.0117,38.3764,0
190.7775,-154.8147,0.0368,1.0217,38.0683,0
191.3163,-153.9104,0.0368,1.0317,37.7701,0
191.8418,-153.0078,0.0368,1.0416,37.4813,0
192.3543,-152.1068,0.0367,1.0515,37.2013,0
192.8542,-151.2075,0.0367,1.0613,36.9298,0
193.3418,-150.3099,0.0367,1.0709,36.6663,0
193.8172,-149.4139,0.0367,1.0805,36.4106,0
194.2808,-148.5195,0.0367,1.0900,36.1622,0
194.7327,-147.6268,0.0367,1.0995,35.9211,0
195.3893,-146.2909,0.0366,1.1135,35.5725,0
196.0209,-144.9586,0.0366,1.1275,35.2389,0
196.6285,-143.6301,0.0366,1.1411,34.9203,0
197.2132,-142.3056,0.0366,1.1542,34.6151,0
197.7757,-140.9849,0.0366,1.1671,34.3229,0
198.3164,-139.6680,0.0366,1.1800,34.0434,0
198.8359,-138.3548,0.0365,1.1927,33.7760,0
199.3346,-137.0452,0.0365,1.2054,33.5202,0
199.8131,-135.7391,0.0365,1.2180,33.2755,0
200.2717,-134.4365,0.0365,1.2305,33.0415,0
200.7109,-133.1372,0.0365,1.2430,32.8176,0
201.1311,-131.8412,0.0365,1.2553,32.6036,0
201.5325,-130.5484,0.0365,1.2676,32.3989,0
201.9156,-129.2587,0.0365,1.2799,32.2032,0
202.2807,-127.9721,0.0364,1.2920,32.0189,0
202.6283,-126.6878,0.0364,1.3041,31.8674,0
202.9590,-125.4041,0.0364,1.3162,31.7842,0
203.2738,-124.1178,0.0363,1.3283,31.7989,0
203.5739,-122.8243,0.0362,1.3404,31.9469,0
203.8605,-121.5172,0.0361,1.3525,32.2732,0
204.1350,-120.1890,0.0359,1.3648,32.7954,0
204.3979,-118.8325,0.0357,1.3773,33.4691,0
204.6495,-117.4431,0.0355,1.3900,34.2246,0
204.8888,-116.0186,0.0354,1.4030,35.0239,0
205.1151,-114.5578,0.0353,1.4162,35.8407,0
205.2579,-113.5636,0.0353,1.4252,36.3867,0
205.3940,-112.5532,0.0353,1.4343,36.9301,0
205.5229,-111.5267,0.0353,1.4435,37.4673,0
205.6442,-110.4845,0.0353,1.4528,37.9941,0
205.7576,-109.4268,0.0353,1.4622,38.5063,0
205.8634,-108.3544,0.0353,1.4711,39.0033,0
205.9618,-107.2676,0.0353,1.4796,39.4830,0
206.0524,-106.1671,0.0353,1.4879,39.9456,0
206.1372,-105.0534,0.0353,1.4948,40.3967,0
206.2189,-103.9271,0.0354,1.4995,40.8343,0
206.2997,-102.7888,0.0354,1.5015,41.2588,0
206.3799,-101.6389,0.0354,1.5022,41.6720,0
206.4600,-100.4775,0.0354,1.5024,42.0747,0
206.5405,-99.3052,0.0354,1.5024,42.4675,0
206.6215,-98.1220,0.0355,1.5024,42.8522,0
206.7033,-96.9284,0.0355,1.5024,43.2308,0
206.7858,-95.7243,0.0355,1.5024,43.6029,0
206.8663,-94.5099,0.0355,1.5037,43.9666,0
206.9423,-93.2852,0.0355,1.5075,44.3213,0
207.0126,-92.0504,0.0355,1.5130,44.6722,0
207.0766,-90.8055,0.0355,1.5193,45.0196,0
207.1326,-89.5508,0.0355,1.5264,45.3580,0
207.1790,-88.2864,0.0356,1.5345,45.6842,0
207.2151,-87.0128,0.0356,1.5433,46.0021,0
207.2404,-85.7303,0.0356,1.5523,46.3112,0
207.2545,-84.4391,0.0356,1.5614,46.6121,0
207.2597,-83.1395,0.0356,1.5692,46.9098,0
207.2585,-81.8317,0.0356,1.5746,47.2002,0
207.2527,-80.5161,0.0356,1.5778,47.4832,0
207.2441,-79.1926,0.0356,1.5792,47.7595,0
207.2337,-77.8616,0.0357,1.5797,48.0294,0
207.2223,-76.5232,0.0357,1.5798,48.2931,0
207.2103,-75.1776,0.0357,1.5799,48.5510,0
207.1980,-73.8250,0.0357,1.5799,48.8031,0
207.1857,-72.4654,0.0357,1.5799,49.0442,0
207.1733,-71.0995,0.0357,1.5799,49.2672,0
207.1608,-69.7277,0.0357,1.5799,49.4736,0
207.1482,-68.3503,0.0358,1.5798,49.6678,0
207.1357,-66.9677,0.0358,1.5798,49.8536,0
207.1232,-65.5800,0.0358,1.5798,50.0308,0
207.1106,-64.1876,0.0358,1.5798,50.1973,0
207.0981,-62.7908,0.0358,1.5798,50.3531,0
207.0855,-61.3898,0.0358,1.5798,50.5001,0
207.0728,-59.9848,0.0359,1.5798,50.6397,0
207.0602,-58.5760,0.0359,1.5797,50.7730,0
207.0475,-57.1636,0.0359,1.5797,50.9010,0
207.0348,-55.7478,0.0359,1.5797,51.0242,0
207.0222,-54.3285,0.0359,1.5797,51.1432,0
207.0095,-52.9061,0.0359,1.5797,51.2586,0
206.9968,-51.4805,0.0359,1.5797,51.3705,0
206.9842,-50.0518,0.0359,1.5797,51.4794,0
206.9714,-48.6202,0.0359,1.5797,51.5854,0
